,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
37477, Mediterranean Food Bar ,England,0,1.1583,1043,,5.18
37478, Assenheims 56 - Great Tower Street ,England,0,1.1583,4,,5.5
37479, Saint Gabriel Cafe ,England,0,1.1583,7,,4.95
37480, The Hungry Tummy ,England,0,1.1583,3,,6
37481, Garbanzos ,England,0,2.9133,2,,6
37482, The Salad Project ,England,0,1.1583,27,,4.1
37483, Aroma de Cafe ,England,0,1.1583,4,,5.25
37484, Pure - Philpot Lane ,England,0,2.9133,81,,4.35
37485, Satay Street ,England,0,2.9133,29,,4.23
37486, Black Sheep Coffee - Aldgate Station ,England,0,1.1583,75,,5.2
37487, Veggie Pret - Great Eastern St ,England,0,2.9133,5,,5.53
37488, The Circle Paradise ,England,0,2.9133,13,,4.23
37489, Rincon Costeno ,England,0,2.9133,81,,5.42
37490, Oodles Chinese - Holborn ,England,0,1.1583,3,,2.67
37491, Kahaila ,England,11.7,2.9133,19,,5.82
37492, Fast Break - Old Street ,England,11.7,2.9133,27,,5.21
37493, Inka Poke Co ,England,0,1.1583,3,,5.67
37494, Cojean - London Wall ,England,0,2.9133,10,,3.7
37495, Ferrari’s Snack Bar ,England,0,1.1583,33,,4.86
37496, Spizza napoletana ,England,11.7,2.9133,15,,5.18
37497, People's Choice Cafe - Barbican ,England,0,2.9133,6,,4.33
37498, Little Ninja Kitchen@ Corner Bar ,England,11.7,2.9133,10,,4.5
37499, Eggrun ,England,0,1.1583,90,,5.12
37500, Lasagneria Italiana at Panino Giusto ,England,0,1.1583,60,,5.18
37501, Diamond Cafe And Grill ,England,0,0,1,,6
37502, Luigi's Pizzas @ The City Pride ,England,0,1.1583,2,,5.5
37503, Two Magpies Cafe London ,England,0,1.1583,74,,4.73
37504, Coco di Mama - More London ,England,11.7,2.9133,2,,3
37505, Chop'd - Mark Lane ,England,0,2.9133,1,,6
37506, Garbanzos ,England,0,1.1583,16,,4.98
37507, Amore Cafe ,England,0,2.9133,3,,3.56
37508, EatViet ,England,0,1.1583,11,,3.76
37509, Chamisse Lebanese Restaurant & Grill ,England,11.7,2.9133,17,,5.24
37510, Great Bakery & Deli ,England,0,1.1583,1,,6
37511, Castle Fish Bar ,England,0,2.9133,16,,3.6
37512, Friends Of Ours ,England,0,1.1583,2,,5.5
37513, SWEETEA - FARRINGDON ,England,0,2.9133,36,,4.92
37514, Zabardast - Bankside ,England,0,1.1583,17,,4.24
37515, The Sandwich Shop ,England,0,2.9133,20,,5.07
37516, LEON - Cannon Street ,England,0,1.1583,1,,1.67
37517, Sami Lebanese Deli ,England,0,2.9133,5,,3.67
37518, Cafe House ,England,11.7,2.9133,16,,4.4
37519, Ikkan Sushi ,England,11.7,2.9133,2,,6
37520, Boost Juice Bars - Liverpool Street ,England,0,2.9133,26,,4.8
37521, Haiso-Zumi ,England,0,1.1583,1,,6
37522, Kirin Restaurant ,England,0,1.1583,1,,4.33
37523, Fit Kitchen ,England,0,1.1583,23,,3.7
37524, Indian City ,England,0,1.1583,2,,5.17
37525, The Japanese Canteen - Creechurch ,England,0,2.9133,7,,4.29
37526, Hej Coffee - Bermondsey ,England,0,2.9133,5,,2.8
37527, Bento Bab ,England,0,1.1583,21,,4.33
37528, Shrigleys ,England,0,2.9133,31,,5.01
37529, Mu Mu Street Food ,England,0,1.1583,16,,5.38
37530, Hunger Cure Fish & Chips ,England,0,1.1583,4,,5.5
37531, Kennedys Of Barbican ,England,0,1.1583,8,,4.46
37532, Wasuya and Juice ,England,0,2.9133,1,,6
37533, Bread & Truffle ,England,0,2.9133,6,,5.06
37534, Spaghetti House - Holborn ,England,0,1.1583,2,,2.84
37535, Brera - Fenchurch ,England,0,1.1583,29,,5.22
37536, Calabar Zone ,England,0,2.9133,13,,5.67
37537, The Cat & Cucumber Cafe ,England,0,2.9133,4,,4
37538, Krispy Kreme - One New Change ,England,11.7,2.9133,4,,3.33
37539, Burrito Joe ,England,0,1.1583,9,,5.33
37540, The Salad Kitchen ,England,0,2.9133,4,,3.83
37541, Baristas Lounge Breakfast ,England,0,1.1583,98,,5.36
37542, 3 Mien ,England,0,2.9133,3,,6
37543, Bento Bab ,England,0,2.9133,4,,5.08
37544, Maki Kazzo ,England,11.7,2.9133,2,,6
37545, Costa Coffee - Southwark Street ,England,0,1.1583,13,,5.21
37546, Chicky Wings ,England,0,1.1583,1,,6
37547, Sweet Boulangerie Patisserie ,England,0,2.9133,16,,4.44
37548, Dil Chad ,England,0,2.9133,2,,3.84
37549, Little Bear Chinese Restaurant ,England,0,1.1583,15,,5.02
37550, Sushi Sashimi ,England,0,1.1583,10,,5.67
37551, King of Falafel ,England,0,1.1583,9,,5.78
37552, The Salad Kitchen ,England,0,2.9133,38,,4
37553, Abokado - Sushi & Katsu (Cutlers Court) ,England,0,2.9133,22,,4.45
37554, Royal Kitchen ,England,0,2.9133,75,,5.48
37555, EST.India ,England,11.7,2.9133,5,,2.93
37556, Lupo's ,England,0,2.9133,7,,4.86
37557, Muzzy's Cafe ,England,0,2.9133,8,,3.5
37558, City Delight ,England,0,2.9133,2,,5.17
37559, Mero Fresh Pasta ,England,0,2.9133,1,,3
37560, The Salad Kitchen ,England,0,1.1583,2,,4.34
37561, Brothers Cafe. ,England,0,2.9133,11,,4.58
37562, Levant Kitchen ,England,0,1.1583,3,,4.89
37563, Hermanos Taco House @ Mercato Metropolitano ,England,0,2.9133,4,,4.08
37564, FAB Thai Street Food ,England,0,2.9133,6,,3.89
37565, Cafe Caribbean Spitalfields ,England,0,2.9133,33,,4.71
37566, Shepherdess BBQ Cafe ,England,0,2.9133,4,,4.92
37567, The Pie Factory ,England,0,2.9133,1,,6
37568, Quick Meal ,England,11.7,2.9133,2,,5.17
37569, Barbican Cafe ,England,11.7,2.9133,2,,3.5
37570, Enat Guada ,England,0,1.1583,5,,6
37571, Cafe Lime ,England,0,2.9133,5,,4.53
37572, Barcelona Tapas Bar & Restaurant ,England,0,2.9133,2,,5.17
37573, Ferraris Breakfast ,England,0,2.9133,3,,4.89
37574, Hej Coffee - Walworth ,England,0,1.1583,1,,2.33
37575, Bon Appetit Lebanese Restaurant ,England,0,1.1583,1,,6
37576, Taj's Gourmet Baps & Wraps ,England,11.7,2.9133,3,,3.56
37577, The Grubberie ,England,0,1.1583,2,,3.17
37578, Attendant Coffee Roasters - Shoreditch ,England,0,2.9133,2,,4.84
37579, Josef Fish & Chips ,England,0,2.9133,2,,3.5
37580, India India Restaurant ,England,0,1.1583,2,,4.34
37581, Momo Canteen - Fenchurch Street ,England,0,2.9133,21,,5.35
37582, Yum Bowl ,England,0,1.1583,1,,6
37583, Addis Kitchen ,England,0,1.1583,1,,6
37584, The Rajasthan II ,England,11.7,2.9133,1,,6
37585, Lemans Cafe ,England,0,2.9133,3,,5.22
37586, Lets Do Maki ,England,0,2.9133,6,,4.33
37587, Pleasant Lady Jian Bing Trading Stall ,England,0,1.1583,9,,5.48
37588, All That Falafel ,England,0,2.9133,1,,6
37589, Los Chamos ,England,0,1.1583,1,,3.67
37590, Vintage Cafe ,England,0,1.1583,1,,4
37591, BrewDog Burger - Old Street ,England,0,2.9133,2,,5
37592, Arches Cafe (Est 1984) ,England,0,2.9133,4,,6
37593, Pilpel - Aldgate ,England,0,2.9133,7,,3.9
37594, Tasty Jerk ,England,0,1.1583,1,,1
37595, Bagel Factory - Waterloo ,England,0,2.9133,1,,4.67
37596, Marias Fish Bar ,England,0,1.1583,3,,5
37597, Festive Feasts ,England,0,2.9133,3,,1.67
37598, Mama's Cafe ,England,0,2.9133,13,,3.28
37599, Greenaway's Pie and Mash ,England,0,2.9133,267,,4.13
37600, MOC Kitchen ,England,0,2.9133,309,,4.4
37601, Super Nature @ SITE ,England,0,2.9133,198,,4.64
37602, De Vine ,England,11.7,2.9133,1186,,4.7
37603, Burrito Joe ,England,11.7,2.9133,6,,3.39
37604, Caffeina Latina ,England,11.7,2.9133,183,,3.95
37605, Kagura Sushi ,England,11.7,2.9133,6,,2.06
37606, Mu Mu Street Food ,England,11.7,2.9133,125,,4.75
37607, Anokha Express ,England,11.7,2.9133,267,,4.16
37608, The Fitness Chef @ Bolton's Restaurant ,England,11.7,2.9133,457,,4.37
37609, OIE Truly Thai ,England,11.7,2.9133,76,,4.74
37610, Fora Restaurant ,England,0,2.9133,1,,6
37611, Dabbers Social Bingo ,England,0,1.1583,15,,3.93
37612, Bolton's Restaurant ,England,0,2.9133,38,,3.67
37613, Cheese & Peppers City cafe ,England,0,1.1583,228,,4.26
37614, Hohaki ,England,0,2.9133,2,,6
37615, Champagne Route ,England,0,2.9133,35,,4.38
37616, Browns - Shad Thames ,England,0,1.1583,85,,4.36
37617, Salad Box ,England,0,1.1583,7,,4.95
37618, Shrimpy ,England,0,1.1583,201,,4.76
37619, GUASA ,England,0,1.1583,28,,5.51
37620, Chi Chi And The Pasta Family ,England,0,2.9133,104,,4.78
37621, Rice Guys - London Wall ,England,11.7,2.9133,14,,4.55
37622, All Bar One - Appold Street ,England,0,2.9133,30,,4.49
37623, Gelateria 3Bis - BOROUGH MARKET ,England,0,1.1583,73,,4.68
37624, The Globe - Moorgate ,England,0,1.1583,55,,4.82
37625, Nyokee - Gnocchi Finsbury Avenue ,England,11.7,2.9133,41,,4.78
37626," Cafe Below, Crypt & Coffee Bar ",England,0,2.9133,32,,4.8
37627, Bubble Tea and Cafe ,England,11.7,2.9133,16,,5.33
37628, Dhoom Kitchen ,England,0,2.9133,9,,4.22
37629, Kybelle Cafe and Bar ,England,0,2.9133,139,,5.59
37630, Coconut ,England,0,1.1583,13,,4.62
37631, Original Bagel & Sandwiches ,England,0,2.9133,20,,5.05
37632, Semoorg ,England,0,2.9133,6,,4.89
37633, Seoul90 Korean Restaurant ,England,0,1.1583,12,,4.92
37634, The Coffee Tree ,England,0,2.9133,4,,5.08
37635, Pixxa ,England,11.7,2.9133,42,,5.57
37636, Flip Side ,England,11.7,2.9133,6,,4.28
37637, Caffe Deniro ,England,0,2.9133,15,,3.76
37638, Ev Cafe - Southbank ,England,0,1.1583,1,,1
37639, G cafe London ,England,0,2.9133,5,,5.67
37640, Tongue & Brisket ,England,0,2.9133,3,,5.89
37641, El Jugo Bar ,England,0,1.1583,43,,4.7
37642, Crave Leban Eats ,England,0,2.9133,2,,6
37643, Thai House ,England,11.7,2.9133,9,,4.81
37644, The Caribbean Joint ,England,11.7,2.9133,3,,2.67
37645, NEPA MoMos ,England,0,2.9133,6,,5.89
37646, Pearl & Groove ,England,0,2.9133,5,,5.2
37647, T8 Bubble Tea & Sushi ,England,0,1.1583,2,,3.17
37648, The Graffiti Shack ,England,0,1.1583,1,,2
37649, Enough To Feed An Elephant ,England,0,1.1583,10,,5.5
37650, The Kolossi ,England,0,1.1583,17,,4.88
37651, Artisserie ,England,0,1.1583,97,,4.33
37652, Le Pain Quotidien - Royal Festival Hall ,England,0,1.1583,62,,4.91
37653, Greggs - London 154 Bishopsgate ,England,0,1.1583,3,,4.67
37654," Greggs - Bermondsey, 79 Tower Bridge Rd ",England,0,1.1583,8,,5.08
37655, Greggs - Ludgate Hill ,England,0,1.1583,16,,4.88
37656," Greggs - Holborn, 81 Leather Ln ",England,0,1.1583,36,,4.61
37657," Greggs - Globe Town, 112 Roman Rd ",England,0,1.1583,24,,4.24
37658," Greggs - London, 60 Kingsway ",England,0,1.1583,26,,3.69
37659, Subway® Shoreditch ,England,0,1.1583,6,,3.11
37660, SUBWAY ,England,0,1.1583,4,,5.42
37661, Subway® - Holborn Viaduct ,England,0,1.1583,4,,4
37662, Subway - 395 Bethnal Green Road ,England,0,1.1583,41,,5.81
37663, Subway® Walworth Road ,England,0,1.1583,6,,4.78
37664, Chipotle - London Wall ,England,0,1.1583,1,,4
37665, Pret A Manger - Houndsditch ,England,0,1.1583,19,,5.11
37666, Pret A Manger - Gracechurch Street ,England,0,1.1583,25,,3.93
37667," Pret A Manger - Old Broad Street, 125 ",England,0,1.1583,32,,3.95
37668, Pret A Manger - Borough High Street ,England,0,1.1583,3,,2.33
37669, Pret A Manger - Chiswell Street ,England,0,1.1583,743,,4.6
37670, Pret A Manger - Paternoster Square ,England,0,1.1583,1,,6
37671, Pret A Manger - City Road 161 ,England,0,1.1583,129,,5.4
37672, Pret A Manger - Leather Lane ,England,0,1.1583,68,,4.58
37673, Pret A Manger - Elephant & Castle ,England,0,1.1583,322,,5.33
37674, Island Poké - Bank ,England,0,1.1583,95,,4.84
37675, Island Poké - Shoreditch ,England,0,1.1583,39,,3.91
37676, Island Poké - Southbank ,England,0,1.1583,49,,4.01
37677, itsu - The Shard ,England,0,1.1583,1,,2.67
37678, itsu - Spital Square ,England,0,1.1583,167,,4.02
37679, itsu - Southwark Street ,England,0,1.1583,87,,3.76
37680, itsu - City Road ,England,0,1.1583,55,,4.48
37681, itsu - High Holborn ,England,0,1.1583,187,,4.66
37682, Assenheims 56 - Wormwood Street ,England,0,1.1583,51,,4.49
37683, Assenheims 56 - Queen Victoria Street ,England,0,1.1583,161,,5.06
37684, Assenheims 56 - Smithfield Street ,England,0,1.1583,70,,3.82
37685, Pure - Gracechurch Street ,England,0,1.1583,172,,4.97
37686, Pure - Tooley Street ,England,0,1.1583,13,,3.85
37687, Pure - London Bridge Street ,England,0,1.1583,16,,3.48
37688, Pure - Moorgate ,England,0,1.1583,670,,5.02
37689, Pure - Cheapside ,England,0,1.1583,98,,3.98
37690, Pure - St Bride ,England,0,1.1583,10,,2.97
37691, Pure - High Holborn ,England,0,1.1583,27,,4.58
37692, Black Sheep Coffee - Aldgate East ,England,0,1.1583,27,,4.46
37693, Black Sheep Coffee - Leadenhall ,England,0,1.1583,9,,2.78
37694, Black Sheep Coffee - Houndsditch ,England,0,1.1583,86,,5.56
37695, Black Sheep Coffee - New Street ,England,0,1.1583,35,,4.34
37696, Black Sheep Coffee - Bank ,England,0,1.1583,71,,4.13
37697, Black Sheep Coffee - Bishopsgate ,England,0,1.1583,34,,4.84
37698, Black Sheep Coffee - Coleman Street ,England,0,1.1583,1,,6
37699, Black Sheep Coffee - Bow Lane ,England,0,1.1583,129,,4.13
37700, Black Sheep Coffee - Principal Place ,England,0,1.1583,92,,4.12
37701, Black Sheep Coffee - Wood Street ,England,0,1.1583,121,,5.1
37702, Black Sheep Coffee - Southbank Tower ,England,0,1.1583,36,,4.85
37703, Black Sheep Coffee - Chancery Lane ,England,0,1.1583,1,,2
37704, Cojean - Ludgate Hill ,England,0,1.1583,151,,4.36
37705, Cojean - Chancery Lane ,England,0,1.1583,772,,5.4
37706, Coco di Mama - Bishopsgate ,England,0,1.1583,94,,4.74
37707, Coco di Mama - Cheapside ,England,0,0,144,,3.76
37708, Coco di Mama - Bankside ,England,0,1.1583,124,,3.27
37709, Coco di Mama - City Road ,England,0,1.1583,2,,4.67
37710, Coco di Mama - Fleet Street ,England,0,1.1583,3,,4.33
37711, Coco di Mama - New Street Square ,England,0,1.1583,1,,6
37712, Chop'd - St Pauls ,England,0,1.1583,5,,5.2
37713, LEON - Bankside ,England,0,1.1583,1,,2.67
37714, LEON - Ludgate Circus ,England,0,1.1583,6,,1.28
37715, The Japanese Canteen - Middlesex Street ,England,0,1.1583,10,,4.8
37716, The Japanese Canteen - Watling Street ,England,0,1.1583,176,,4.27
37717, Brera - Cannon Street ,England,0,1.1583,7,,6
37718, Krispy Kreme - Fleet Street ,England,0,1.1583,7,,1.86
37719, Krispy Kreme - Holborn ,England,0,1.1583,235,,4.97
37720, Costa Coffee - Borough high street ,England,0,1.1583,4,,5.92
37721, Costa Coffee -Westminster Bridge Rd ,England,0,1.1583,1,,6
37722, Costa Coffee - Guilford Street ,England,0,1.1583,28,,3.81
37723, Abokado - Sushi & Katsu (Throgmorton Street) ,England,0,1.1583,67,,5.48
37724, Abokado - Sushi & Katsu (Blackfriars) ,England,0,1.1583,96,,4.47
37725, Abokado - Sushi & Katsu (Cowcross Street) ,England,,,207,,5.4
37726, BrewDog Burger - Chancery Lane ,England,,,8,,4.58
37727, Browns - Old Jewry ,England,,,22,,5.32
37728, The Sir Christopher Hatton - Hatton Garden ,England,,,226,,4.71
37729, The Wellington - Strand ,England,,,33,,4.27
37730, The Breakfast Club - Spitalfields ,England,,,5,,4.93
37731, Comptoir Libanais - Liverpool St ,England,,,43,,5.68
37732, Starbucks - Minories ,England,,,66,,5.14
37733, Korean Kitchen ,England,,,21,,4.16
37734, Dosa World ,England,,,117,,5.13
37735, 7am Somewhere - Absurd Bird Spitalfields ,England,,,54,,4.73
37736, Franzo's - Whitechapel ,England,,,35,,5.1
37737, Al kahf ,England,,,7,,3.67
37738, Beijing St. ,England,,,12,,5
37739, Nine Seas ,England,,,19,,4.88
37740, Shoreditch Fish & Chips ,England,,,10,,5.43
37741, Pizza Di Stefano Sourdough ,England,,,144,,5.01
37742, Taco Mas! - Hackney ,England,,,40,,5.21
37743, Ikura Thai ,England,,,4,,5.33
37744, Coco di Mama Kitchen - Tower Hill ,England,,,14,,5.91
37745," Box a Biryani (London Bridge, SE1) ",England,,,146,,4.97
37746, Subway® Aldgate High Street ,England,,,25,,4.89
37747, Da Bagel Spot ,England,,,2,,6
37748, A'la Pizza ,England,,,1,,5
37749, Pret A Manger - Tooley Street ,England,,,8,,3.83
37750, Lahmacino ,England,,,6,,4.67
37751, Feast & Mishti ,England,,,8,,6
37752, Rapsa@100 Hoxton ,England,,,1,,2.33
37753, World of Wings - Spitalfields ,England,,,56,,5.27
37754, Nom Nyam Chicken - Bethnal Green ,England,,,5,,4.47
37755, Mooshies ,England,,,7,,5.24
37756, NUGS ,England,,,2,,4.5
37757, Chicken Cottage Tooley Street ,England,,,5,,5.13
37758, Hackney Grill Stop ,England,,,42,,5.38
37759, Lailaty ,England,,,5,,3.93
37760, Amar Gaon ,England,,,65,,5.09
37761, Zizzi - Tower Hill ,England,,,10,,4.67
37762, Nepali Kanteen ,England,,,40,,4.96
37763, Wok & Grill ,England,,,9,,4.11
37764, Real Taste ,England,,,40,,5.61
37765, Momoland ,England,,,21,,4.24
37766, Krispy Kreme - London Bridge ,England,,,43,,5.5
37767, Grillax II ,England,,,16,,5.35
37768, Vegan Heaven ,England,,,21,,5.27
37769, Levanthyme - Mediterranean on the go ,England,,,7,,6
37770, Fancy Thai ,England,,,94,,4.63
37771, Bubblewrap Waffle ,England,,,12,,2.44
37772, Spice Hut ,England,,,23,,4.2
37773, S&R Kelly & Sons ,England,,,19,,5.42
37774, Mumbai Dera ,England,,,24,,5.15
37775, Mega Burger ,England,,,13,,3.69
37776, The Big Kitchen ,England,,,31,,5.25
37777, Band Of Burgers ,England,,,7,,4.9
37778, Mr Wong's Wok & Box ,England,,,5,,3.4
37779, Indigo Pizza ,England,,,32,,5.54
37780, Bean and Leaf Cafe ,England,,,30,,4.77
37781, Breakfast Buns ,England,,,77,,5.32
37782, Chai Grill ,England,,,4,,5.83
37783, M.Manze ,England,,,8,,4.13
37784, Delipan Columbian Bakery Cafe ,England,,,14,,4.05
37785, Chipotle Bermondsey ,England,,,11,,4.15
37786, KFC London - Fleet Street ,England,,,9,,5
37787, Hoshi ,England,,,49,,4.1
37788, Katsu Wraps ,England,,,96,,3.76
37789, The Mudlark - London Bridge ,England,,,8,,5.38
37790, Michin Kitchn (Spitalfields) ,England,,,1,,5.67
37791, Tandoori Tadkaa ,England,,,13,,5.08
37792, Tendergreens ,England,,,11,,5.67
37793, Thai Organic At Cruffins ,England,,,2,,1.67
37794, Amora Gusto Fish & Chips - Southbank ,England,,,15,,4.64
37795," Greggs - Waterloo, U1, 93 Lower Marsh ",England,,,26,,3.8
37796, Kennedy's of Goswell Road ,England,,,107,,4.71
37797, Barclay Prime ,England,,,8,,5.29
37798, Dragonfly Cafe ,England,,,24,,4.69
37799, Gjon’s Greek Cuisine ,England,,,93,,5.07
37800, Miyako ,England,,,16,,4.56
37801, Coffee & Patisserie ,England,,,12,,4.36
37802, E Pellicci ,England,,,230,,5.27
37803, GLOOP ,England,,,1,,6
37804, Roca Cafe ,England,,,2,,4.5
37805, ARIGATO SUSHI ,England,,,25,,4.07
37806, Querky Cafe - Shadwell ,England,,,59,,4.33
37807, Masters Superfish ,England,,,28,,4.83
37808, Shaheen Tandoori ,England,,,27,,4.78
37809, Eat Tempura ,England,,,1,,6
37810, Bubble & Scoop ,England,,,18,,4.93
37811, Cluck 'n' Run Fried Chicken - Bethnal Green ,England,,,1,,6
37812, Bodega Rita's ,England,,,3,,2.67
37813, Basilico Tower Bridge ,England,,,8,,5.67
37814, Snog Frozen Yogurt - Borough ,England,,,2,,4.17
37815, Hamachi Sushi ,England,,,6,,3.95
37816, Yummy Pasta ,England,,,2,,2.17
37817, Bridge  Kebab ,England,,,3,,5.78
37818, NANNY BILL’S BURGERS @ Vinegar Yard ,England,,,11,,5.39
37819, Taouk Express Lebanese Cuisine ,England,,,4,,5.92
37820, Earthsea ,England,,,50,,5.27
37821, Thai Nakara @ Princess Of Prussia ,England,,,6,,4.61
37822, East Street Caribbean Grill ,England,,,1,,6
37823, Long Lane Fish Bar ,England,,,161,,5.15
37824, Rose Cafe ,England,,,27,,3.46
37825, Naga Bros ,England,,,2,,2.34
37826, The Fryer's Delight ,England,,,20,,3.5
37827, Natural Kitchen ,England,,,2,,4.34
37828, Poke Zone ,England,,,5,,4.67
37829, Cafe Arena ,England,,,54,,4.87
37830, Café Spice Namasté ,England,,,40,,4.45
37831, BurgerRun ,England,,,3,,2.67
37832, Nori Line ,England,,,7,,5.38
37833, Quick Doner ,England,,,3,,5.22
37834, Black Sheep Coffee - Eastcheap ,England,,,4,,5.08
37835, Just Yuca @BOXPARK Shoreditch ,England,,,44,,4.84
37836, Honest Bite Breakfast Burritos - Vallance Road ,England,,,1,,4.33
37837, Oatopia @ Boxpark ,England,,,142,,4.38
37838, Haji Papa ,England,,,18,,3.04
37839, K's Kitchen ,England,,,1,,1
37840, Issho-Ni ,England,,,12,,3.75
37841, The Kebab Artist Sandwich ,England,,,30,,4.71
37842, Ristopizza ,England,,,19,,4.37
37843, Bobar London ,England,,,2,,1
37844, BRKFST CO ,England,,,5,,4.87
37845, Himalayan Dumpling ,England,,,5,,5
37846, Meat & Bun by Gaucho - Smithfield ,England,,,3,,4.89
37847, Paella Brothers ,England,,,48,,4.19
37848, Dhaba Kitchen - Street Food ,England,,,6,,4.72
37849, The Macbeth ,England,,,12,,4.61
37850, The Food Map Co ,England,,,22,,3.88
37851, Pollomama ,England,,,304,,4.53
37852, Bocca In Cielo ,England,,,7,,5.86
37853, Original Caribbean Spice ,England,,,7,,4.95
37854, Aburi Japanese Restaurant ,England,,,1,,1
37855, Fresh Fry Fish Bar ,England,,,65,,3.88
37856, Workman Cafe ,England,,,2,,4
37857, Holy Cow ,England,,,3,,1.78
37858, Belly's Taste Of Jamaica ,England,,,25,,3.27
37859, Faasos ,England,,,46,,3.97
37860, Twenty Two Cooks ,England,,,56,,3.7
37861, Costa Azul ,England,,,78,,4.29
37862, Beboz Italian Street Food ,England,,,179,,4.29
37863, Lily's Dumpling ,England,,,78,,4.24
37864, Natak ,England,,,71,,4.4
37865, Jenecheru ,England,,,47,,3.89
37866, Zeus Food @ Mercato Metropolitano ,England,,,185,,4.47
37867, Town of Ramsgate ,England,,,56,,3.62
37868, Crystal Charcoal Grill ,England,,,49,,3.82
37869, The Fat Pizza - Bethnal Green ,England,,,1,,5
37870, LebanEats ,England,,,57,,4.01
37871, Beza Ethiopian Food ,England,,,732,,3.92
37872, Cafe Ishaq ,England,,,141,,4.19
37873, Sushi Dinner Box ,England,,,40,,4.63
37874, Bagel and Beans ,England,,,74,,4.19
37875, Baba G's Bhangra Burger - London Bridge ,England,,,,,
37876, Daddy O Suya Spot ,England,,,,,
37877, Miyabi Sushi ,England,,,,,
37878, Food Villa ,England,,,,,
37879, The Best Kebab ,England,,,,,
37880, Cafe Bite ,England,,,,,
37881, Twisted London - Whitechapel ,England,,,,,
37882, Mission Saigon - Bermondsey ,England,,,,,
37883, Costa Coffee - Newington Service station ,England,,,,,
37884, Keto Kitchen ,England,,,,,
37885, Los Pollos Bravos ,England,,,,,
37886, The Sushi And Teppanyaki House ,England,,,,,
37887, Pizza Hut Restaurants - Strand ,England,,,,,
37888, Olives and Oregano London ,England,,,,,
37889, Auberge ,England,,,,,
37890, WTF! - Mind-Blowing Vegan Burgers (Whitechapel) ,England,,,,,
37891, Demezka Hoxton ,England,,,,,
37892, Fateema ,England,,,,,
37893, The Baklava Company ,England,,,,,
37894, The Table Café ,England,,,,,
37895, Goswell Best Charcoal Grill ,England,,,,,
37896, Fast Break - Kozzy ,England,,,,,
37897, Little Moons Mochi Ice Cream - Borough ,England,,,,,
37898, Oaka London ,England,,,,,
37899, BANH MI BAY ,England,,,,,
37900, Crazy Vegan Sushi - Gray's Inn Road ,England,,,,,
37901, Kinglake Fried Chicken ,England,,,,,
37902, Smoke Shack ,England,,,,,
37903, Tico's ,England,,,,,
37904, Copper Coffee ,England,,,,,
37905, Bife ,England,,,,,
37906, Perk'd Up Burger @ Milroy's Spitalfields ,England,,,,,
37907, Bob's Lobster ,England,,,,,
37908, Jenki Matcha Bar ,England,,,,,
37909, The Green Leaf ,England,,,,,
37910, Rainbow Sushi ,England,,,,,
37911, M&M Chefs Club ,England,,,,,
37912, The Urban Chef's club ,England,,,,,
37913, Cafe classic ,England,,,,,
37914, Ikon's Chit Chat ,England,,,,,
37915, The Flying Horse ,England,,,,,
37916, Savoy ,England,,,,,
37917, Cincinnati Chilibomb ,England,,,,,
37918, Back Stage Coffee Ltd ,England,,,,,
37919, Classic Indian Kitchen ,England,,,,,
37920, Press Cold Pressed Juices & Cleanses - Borough ,England,,,,,
37921, Fat Burger & Desserts - Bethnal Green ,England,,,,,
37922, Art coffee & sandwiches ,England,,,,,
37923, Beijummy ,England,,,,,
37924, Capitan Tortilla ,England,,,,,
37925, Pastan ,England,,,,,
37926, Pizza Massimo ,England,,,,,
37927, The Bright Store ,England,,,,,
37928, T's Cafe Au Lait ,England,,,,,
37929, Cafe Mandalay ,England,,,,,
37930, Maoz ,England,,,,,
37931, Sisters Place ,England,,,,,
37932, Mediterranean Grill* ,England,,,,,
37933, Gebeta Ethiopian Kitchen ,England,,,,,
37934, Sabor Peruano Internacional ,England,,,,,
37935, Lahori Spice Village ,England,,,,,
37936, Pieminister - Leather Lane ,England,,,,,
37937, La Bell Cuisine ,England,,,,,
37938, Dallas Chicken & Ribs - Waterloo ,England,,,,,
37939, Mamino ,England,,,,,
37940, Berni's Sandwich Bar ,England,,,,,
37941, The King of Falafel ,England,,,,,
37942, Walili ,England,,,,,
37943, Veggie Pret - Exmouth Market ,England,,,,,
37944, Sawadika Fine Thai Restaurant ,England,,,,,
37945, Pink Lemonade ,England,,,,,
37946, The Breakfast Club - London Bridge ,England,,,,,
37947, The Breakfast Club - Hoxton ,England,,,,,
37948, Starbucks - Tower Place ,England,,,,,
37949, STARBUCKS® - Leadenhall Street ,England,,,,,
37950, Starbucks - Houndsditch ,England,,,,,
37951, Starbucks - Gracechurch Street ,England,,,,,
37952, Starbucks - Shad Thames ,England,,,,,
37953, Starbucks - King William Street ,England,,,,,
37954, STARBUCKS® - Whitechapel Road ,England,,,,,
37955, Starbucks - London Bridge-Shard Arcade ,England,,,,,
37956, Starbucks - Walbrook ,England,,,,,
37957, Starbucks - Sun Street ,England,,,,,
37958, STARBUCKS® - South Bank - Globe ,England,,,,,
37959, STARBUCKS® - Cheapside ,England,,,,,
37960, Starbucks - The Gallery - Bankside ,England,,,,,
37961, Starbucks - Paternoster Square ,England,,,,,
37962, Starbucks - South Bank - Hopton Street ,England,,,,,
37963, Starbucks - New Bridge Street ,England,,,,,
37964, Starbucks - Old Street - City Road ,England,,,,,
