,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
193, Tea Struck - Eastlakes ,Australia,0,1.9734,105,40,3.55
194, Grilled Bar 233 ,Australia,0,1.3134,280,35,5.06
195, JumboThai - Pyrmont ,Australia,0,3.2934,20,35,4.45
196, Station Kebabs and Burgers ,Australia,0,3.2934,6,35,3.33
197, Chim young ,Australia,0,2.9634,51,45,5.01
198, Holm Oak Cafe - Marrickville ,Australia,0,3.2934,18,35,4.48
199, Rashays - Darling Harbour ,Australia,0,3.2934,57,40,4.92
200, Spice Hub ,Australia,16.5,,43,35,4.53
201, Thai Pothong Newtown ,Australia,0,1.9734,3,45,5.56
202, Kogarah Indian Bazaar ,Australia,0,0.6534,28,35,4.79
203, Skewers Master ,Australia,0,3.2934,36,35,4.99
204, Just Fry - Waterloo ,Australia,0,2.6334,21,40,3.89
205, Max Brenner ,Australia,0,1.3134,172,45,4.99
206, Tandoori Zone ,Australia,0,1.9734,4,35,4.25
207, Bangkok Bowl ,Australia,0,1.9734,45,35,3.5
208, The Secret Burger Society ,Australia,0,3.2934,22,35,4.82
209, Wallabies Thai ,Australia,0,1.3134,17,35,4.96
210, Wok Master @ Alexandria ,Australia,0,3.2934,42,35,5.51
211, Lion's Grill & Campano Casual Italian ,Australia,0,3.2934,119,35,5.04
212, Bik's Cafe ,Australia,0,2.6334,1,35,6
213, Chongqing Street Noodles - Waterloo ,Australia,0,2.6334,84,35,4.85
214, Happy Belly Chinese Restaurant ,Australia,0,3.2934,21,35,4
215, Roll'd - Pacific Square ,Australia,0,3.2934,38,35,4.99
216, Will & Mike's Cafe ,Australia,0,2.6334,63,35,5.11
217, Uncle Joe's Malaysian Kitchen ,Australia,0,2.9634,463,35,4.65
218, Little Cha - East Gardens ,Australia,0,1.3134,22,35,5.05
219, Ninja Chicken - Mascot ,Australia,0,1.6434,188,35,5.04
220, Din Din Persian Kitchen ,Australia,0,3.2934,24,35,4.9
221, Hot Grind Cafe ,Australia,0,3.2934,40,35,4.48
